id,level,topic
1,Level II,Quantitative Methods
2,Level II,Economics
3,Level II,Financial Statement Analysis
4,Level II,Integration of Financial Statement Analysis Techniques
5,Level II,Corporate Issuers
6,Level II,Equity Valuation
7,Level II,Fixed Income
8,Level II,Derivatives
9,Level II,Alternative Investments
10,Level II,Portfolio Management
11,Level II,Ethical and Professional Standards
12,Level I,Quantitative Methods
13,Level I,Economics
14,Level I,Portfolio Management
15,Level I,Corporate Issuers
16,Level I,Financial Statement Analysis
17,Level I,Equity Investments
18,Level I,Fixed Income
19,Level I,Derivatives
20,Level I,Alternative Investments
21,Level I,Ethical and Professional Standards
22,Level III,Quantitative Methods
23,Level III,Portfolio Management
24,Level III,Derivatives
25,Level III,"Swaps, Forwards, and Futures Strategies"
26,Level III,Fixed Income
27,Level III,Equity Investments
28,Level III,Alternative Investments
29,Level III,Ethical and Professional Standards
